Date,Name,Year,Letterboxd URI,Rating
2023-10-18,Bottoms,2023,https://boxd.it/uGf2,3.5
2023-10-30,The End We Start From,2023,https://boxd.it/AMom,3.5
2023-11-01,The Fall of the House of Usher,2023,https://boxd.it/IWYg,5
2023-11-11,Cigarette Girl,2023,https://boxd.it/IhEa,4
2023-11-24,Love Actually,2003,https://boxd.it/2aeU,3.5
2023-12-14,Fellow Travelers,2023,https://boxd.it/Jdwe,5
2023-12-16,Anatomy of a Fall,2023,https://boxd.it/yuDE,5
2023-12-16,Silver Linings Playbook,2012,https://boxd.it/2TTo,4
2023-12-25,Klaus,2019,https://boxd.it/ipoi,4
2023-12-26,Maestro,2023,https://boxd.it/j0DE,3
2023-12-27,Julie & Julia,2009,https://boxd.it/1wXg,3
2023-12-28,Salt Fat Acid Heat,2018,https://boxd.it/wXxw,4
2023-12-29,A Long Way to Come Home,2023,https://boxd.it/E0gM,3.5
2023-12-29,Women Talking,2022,https://boxd.it/tdq4,5
2023-12-29,The Prince of Egypt,1998,https://boxd.it/1XGQ,5
2023-12-30,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,3.5
2023-12-31,13 Going on 30,2004,https://boxd.it/1X6e,4
2024-01-02,Mona Lisa Smile,2003,https://boxd.it/1T0Q,3.5
2024-01-02,Frozen II,2019,https://boxd.it/aPvo,5
2024-01-04,Eileen,2023,https://boxd.it/oJcS,3.5
2024-01-06,Elemental,2023,https://boxd.it/ASiE,3
2024-01-16,Waitress: The Musical,2023,https://boxd.it/G9sQ,5
2024-02-15,"Solo, Solitude",2016,https://boxd.it/enk6,5
2024-02-17,The Underground Railroad,2021,https://boxd.it/u9M8,4
2024-03-02,CODA,2021,https://boxd.it/tbf4,4.5
2024-03-19,Society of the Snow,2023,https://boxd.it/y9aw,5
2024-03-20,The Zone of Interest,2023,https://boxd.it/gJsA,4
2024-03-21,The Watermelon Woman,1996,https://boxd.it/RRc,4.5
2024-03-22,I Dream in Another Language,2017,https://boxd.it/bZ5M,5
2024-03-24,Love Lies Bleeding,2024,https://boxd.it/zN4q,3
2024-03-26,Real Women Have Curves,2002,https://boxd.it/1lBI,4
2024-03-26,Lady Bird,2017,https://boxd.it/dGNE,4
2024-03-28,Pitch Perfect 2,2015,https://boxd.it/7tNa,2.5
2024-04-11,Andragogy,2023,https://boxd.it/E1Ck,4
2024-04-21,The Sympathizer,2024,https://boxd.it/G4lK,5
2024-05-16,Lovesong,2016,https://boxd.it/cSSY,4.5
2024-05-19,Ouija: Origin of Evil,2016,https://boxd.it/b5EG,1
2024-05-20,Aimée & Jaguar,1999,https://boxd.it/27by,4
2024-05-24,Certain Women,2016,https://boxd.it/bk7W,3
2024-05-30,Under the Bridge,2024,https://boxd.it/MEpA,4.5
2024-06-03,Blue Jean,2022,https://boxd.it/AHhg,4
2024-06-05,A Date for Mad Mary,2016,https://boxd.it/egeg,3.5
2024-06-13,But I'm a Cheerleader,1999,https://boxd.it/1CW4,4
2024-06-14,Light Light Light,2023,https://boxd.it/rh9i,4.5
2024-06-16,I Saw the TV Glow,2024,https://boxd.it/woVe,4.5
2024-06-19,Inside Out 2,2024,https://boxd.it/CFrC,4
2024-06-23,I Used to Be Funny,2023,https://boxd.it/yzvU,4
2024-07-17,Daughters,2024,https://boxd.it/K5f2,4.5
2024-07-18,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2024-07-20,Longlegs,2024,https://boxd.it/KzLM,4
2024-07-20,Encanto,2021,https://boxd.it/kPRu,4
2024-07-22,Monte Carlo,2011,https://boxd.it/hqk,3
2024-07-23,Uptown Girls,2003,https://boxd.it/1N64,3.5
2024-08-03,Falling in Love Like in Movies,2023,https://boxd.it/EDQY,5
2024-08-09,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,4
2024-08-10,Brother Bear,2003,https://boxd.it/1Xjs,4
2024-08-19,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,3
2024-09-03,Alien: Romulus,2024,https://boxd.it/zGqO,4
2024-09-06,Fear Street: 1994,2021,https://boxd.it/lLBk,1
2024-09-06,Palm Springs,2020,https://boxd.it/lCXQ,4
2024-09-09,Fear Street: 1978,2021,https://boxd.it/lLBu,3.5
2024-09-11,Fear Street: 1666,2021,https://boxd.it/lLBE,4
2024-09-24,His Three Daughters,2023,https://boxd.it/HGx2,4
2024-09-25,Notting Hill,1999,https://boxd.it/2aeK,4
2024-09-25,Luca,2021,https://boxd.it/ipjC,4
2024-09-25,The Fabelmans,2022,https://boxd.it/ugoM,3
2024-10-13,We Live in Time,2024,https://boxd.it/FC5u,4
2024-10-23,The Haunting of Hill House,2018,https://boxd.it/kfJ0,5
2024-10-28,Anora,2024,https://boxd.it/Egcw,4
2024-11-20,Wicked,2024,https://boxd.it/e8ME,4.5
2024-12-13,Heretic,2024,https://boxd.it/H1lY,4
2024-12-19,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,4
2025-01-07,Conclave,2024,https://boxd.it/AO8q,4
2025-04-07,The Encampments,2025,https://boxd.it/SuEC,5
2025-05-02,Harriet,2019,https://boxd.it/ijo2,5
2025-11-29,Frozen,2013,https://boxd.it/3GNa,5
